"year","cod","sector","current_share","supplier_share","share_change"
2035,"S35","Fabricação de automóveis, caminhões e ônibus, exceto peças",0.0179420484619141,0.0179420484619141,0
2035,"S36","Fabricação de peças e acessórios para veículos automotores",0.0179420484619141,0.0179420484619141,0
2035,"S57","Desenvolvimento de sistemas e outros serviços de informação",0.0260359453893098,0.0260359453893098,0
2035,"S61","Serviços de arquitetura, engenharia, testes/análises técnicas e P & D",0.0348506670807665,0.0348506670807665,0
2040,"S34","Fabricação de máquinas e equipamentos mecânicos",0.337143619077904,0.370774086827772,0.0336304677498676
2040,"S32","Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",0.0291905425704633,0.0306476867990337,0.00145714422857036
2040,"S45","Construção",0.318128680302743,0.343687556759232,0.0255588764564891
2040,"S33","Fabricação de máquinas e equipamentos elétricos",0.0583760128852054,0.063697832005314,0.00532181912010868
2040,"S39","Manutenção, reparação e instalação de máquinas e equipamentos",0.0347538698711856,0.0382990596747436,0.00354518980355804
2040,"S42","Transmissão",0.0652191323396733,0,-0.0652191323396733
2040,"S30","Metalurgia de metais não-ferosos e a fundição de metais",0.0614613118180487,0.0618747576638218,0.000413445845773047
2040,"S03","Produção florestal; pesca e aquicultura",0.00474084569819767,0.00474084569819767,0
2040,"S01","Agricultura, inclusive o apoio à agricultura e a pós-colheita",0.00158028189939922,0.00158028189939922,0
2040,"S19","Derivados de petróleo",0.00564937303763212,0,-0.00564937303763212
2040,"S27","Fabricação de produtos de borracha e de material plástico",0.00141234325940803,0.00235390543234672,0.000941562172938687
2040,"S35","Fabricação de automóveis, caminhões e ônibus, exceto peças",0.0100068051062838,0.0100068051062838,0
2040,"S36","Fabricação de peças e acessórios para veículos automotores",0.0100068051062838,0.0100068051062838,0
2040,"S57","Desenvolvimento de sistemas e outros serviços de informação",0.0271434772486245,0.0271434772486245,0
2040,"S61","Serviços de arquitetura, engenharia, testes/análises técnicas e P & D",0.035186899778947,0.035186899778947,0
2045,"S34","Fabricação de máquinas e equipamentos mecânicos",0.192878129396894,0.201931874138583,0.00905374474168899
2045,"S32","Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",0.00601651079231948,0.0061922592648224,0.000175748472502917
2045,"S45","Construção",0.447561837334694,0.459683056481428,0.0121212191467342
2045,"S33","Fabricação de máquinas e equipamentos elétricos",0.0396056342951731,0.0433851298339846,0.00377949553881156
2045,"S39","Manutenção, reparação e instalação de máquinas e equipamentos",0.0201413556931193,0.021068698726351,0.000927343033231762
2045,"S42","Transmissão",0.0166987739650464,0,-0.0166987739650464
2045,"S30","Metalurgia de metais não-ferosos e a fundição de metais",0.191560878170394,0.191562819160651,0.0000019409902572709
2045,"S03","Produção florestal; pesca e aquicultura",0.0102158199220237,0.0102158199220237,0
2045,"S01","Agricultura, inclusive o apoio à agricultura e a pós-colheita",0.00340527330734124,0.00340527330734124,0
2045,"S19","Derivados de petróleo",0.0112328615498163,0,-0.0112328615498163
2045,"S27","Fabricação de produtos de borracha e de material plástico",0.00280821538745408,0.00468035897909013,0.00187214359163605
2045,"S35","Fabricação de automóveis, caminhões e ônibus, exceto peças",0.00612250612741537,0.00612250612741537,0
2045,"S36","Fabricação de peças e acessórios para veículos automotores",0.00612250612741537,0.00612250612741537,0
2045,"S57","Desenvolvimento de sistemas e outros serviços de informação",0.00845253948635256,0.00845253948635256,0
2045,"S61","Serviços de arquitetura, engenharia, testes/análises técnicas e P & D",0.0371771584445407,0.0371771584445407,0
2050,"S34","Fabricação de máquinas e equipamentos mecânicos",0.177831405055782,0.184029352380531,0.00619794732474943
2050,"S32","Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",0.00151159949225195,0.00151159949225195,0
2050,"S45","Construção",0.45340723804281,0.482542059068501,0.0291348210256913
2050,"S33","Fabricação de máquinas e equipamentos elétricos",0.0331801090827111,0.0446924977998324,0.0115123887171214
2050,"S39","Manutenção, reparação e instalação de máquinas e equipamentos",0.010796838283883,0.0114166330163579,0.000619794732474943
2050,"S42","Transmissão",0.011156305184549,0,-0.011156305184549
2050,"S30","Metalurgia de metais não-ferosos e a fundição de metais",0.206608321913844,0.206608321913844,0
2050,"S03","Produção florestal; pesca e aquicultura",0.00555861842931874,0.00555861842931874,0
2050,"S01","Agricultura, inclusive o apoio à agricultura e a pós-colheita",0.00185287280977291,0.00185287280977291,0
2050,"S19","Derivados de petróleo",0.0435703759385856,0,-0.0435703759385856
2050,"S27","Fabricação de produtos de borracha e de material plástico",0.0108925939846464,0.018154323307744,0.00726172932309761
2050,"S35","Fabricação de automóveis, caminhões e ônibus, exceto peças",0.000497723577701935,0.000497723577701935,0
2050,"S36","Fabricação de peças e acessórios para veículos automotores",0.000497723577701935,0.000497723577701935,0
2050,"S57","Desenvolvimento de sistemas e outros serviços de informação",0.00477874570002084,0.00477874570002084,0
2050,"S61","Serviços de arquitetura, engenharia, testes/análises técnicas e P & D",0.0378595289264212,0.0378595289264212,0
