"year","variant","sector","sector_name","unconstrained_output_change_Rbn","hard_output_change_Rbn"
2030,"current","S68","Educação privada",33.6845049696081,33.469379012811
2030,"current","S69","Saúde pública",45.5636920497966,45.5612503773736
2030,"current","S70","Saúde privada",68.0502016692389,68.047943421081
2030,"no_real_estate","S52","Alojamento",7.82288146321704,7.69668345668231
2030,"no_real_estate","S53","Alimentação",63.3851923332241,63.1952461014581
2030,"no_real_estate","S59","Atividades imobiliárias",150.174584642165,149.226172719959
2030,"no_real_estate","S66","Administração pública, defesa e seguridade social",195.9252832817,195.540343351625
2030,"no_real_estate","S67","Educação pública",79.1829419729753,79.1518205511967
2030,"no_real_estate","S68","Educação privada",33.6844965593382,33.4693749399609
2030,"no_real_estate","S69","Saúde pública",45.5636918314573,45.5612503296364
2030,"no_real_estate","S70","Saúde privada",68.0502015811993,68.0479433775861
2030,"hospitality_only","S52","Alojamento",7.82279757038633,7.69664326091059
2030,"hospitality_only","S53","Alimentação",63.3849283642212,63.1951700513865
2030,"hospitality_only","S59","Atividades imobiliárias",150.173866597685,149.225890503449
2030,"hospitality_only","S66","Administração pública, defesa e seguridade social",195.924907881853,195.540175888211
2030,"hospitality_only","S67","Educação pública",79.1828817198808,79.1518108813144
2030,"hospitality_only","S68","Educação privada",33.6843121488169,33.4693115518451
2030,"hospitality_only","S69","Saúde pública",45.5636863746295,45.5612495866751
2030,"hospitality_only","S70","Saúde privada",68.0501997987896,68.04794270065
2035,"current","S52","Alojamento",12.5703746018846,12.3015096596471
2035,"current","S53","Alimentação",109.962330513852,109.578398914958
2035,"current","S59","Atividades imobiliárias",257.660857519864,255.799806118682
2035,"current","S66","Administração pública, defesa e seguridade social",340.110368037475,339.253074627176
2035,"current","S67","Educação pública",138.196159711733,138.153588003347
2035,"current","S68","Educação privada",57.7468067248555,57.3016498880999
2035,"current","S69","Saúde pública",79.6227068140759,79.6199359938571
2035,"current","S70","Saúde privada",118.932736917996,118.928333227095
2035,"no_real_estate","S52","Alojamento",12.570367987464,12.3015036339611
2035,"no_real_estate","S53","Alimentação",109.962309046232,109.578387514409
2035,"no_real_estate","S59","Atividades imobiliárias",257.660774522861,255.799763812041
2035,"no_real_estate","S66","Administração pública, defesa e seguridade social",340.110324747191,339.253049522995
2035,"no_real_estate","S67","Educação pública",138.196154014892,138.15358655375
2035,"no_real_estate","S68","Educação privada",57.7467871425908,57.3016403856853
2035,"no_real_estate","S69","Saúde pública",79.6227063068309,79.6199358824809
2035,"no_real_estate","S70","Saúde privada",118.932736714216,118.928333125617
2035,"hospitality_only","S52","Alojamento",12.5701745344046,12.3014082275999
2035,"hospitality_only","S53","Alimentação",109.961694565283,109.578207006353
2035,"hospitality_only","S59","Atividades imobiliárias",257.65906028731,255.799093959239
2035,"hospitality_only","S66","Administração pública, defesa e seguridade social",340.109426905192,339.252652041512
2035,"hospitality_only","S67","Educação pública",138.19601114692,138.153563601876
2035,"hospitality_only","S68","Educação privada",57.7463515019163,57.3014899313164
2035,"hospitality_only","S69","Saúde pública",79.6226933654693,79.6199341190307
2035,"hospitality_only","S70","Saúde privada",118.932732460367,118.928331518881
2040,"current","S52","Alojamento",18.6775934923865,18.1914166875711
2040,"current","S53","Alimentação",170.846442078748,170.156705778145
2040,"current","S59","Atividades imobiliárias",398.533848059832,395.323743936135
2040,"current","S66","Administração pública, defesa e seguridade social",529.009644952084,527.465891156868
2040,"current","S67","Educação pública",215.443373085436,215.379439997746
2040,"current","S68","Educação privada",89.2764950839724,88.5151824344549
2040,"current","S69","Saúde pública",124.224380805329,124.220677056811
2040,"current","S70","Saúde privada",185.571448818371,185.563866657682
2040,"no_real_estate","S52","Alojamento",18.6775774590893,18.1914029141512
2040,"no_real_estate","S53","Alimentação",170.846391391135,170.156679718947
2040,"no_real_estate","S59","Atividades imobiliárias",398.533658956412,395.32364723227
2040,"no_real_estate","S66","Administração pública, defesa e seguridade social",529.009540968288,527.465833774118
2040,"no_real_estate","S67","Educação pública",215.443360109604,215.379436684279
2040,"no_real_estate","S68","Educação privada",89.276447843047,88.5151607139828
2040,"no_real_estate","S69","Saúde pública",124.224379661889,124.220676802229
2040,"no_real_estate","S70","Saúde privada",185.57144835382,185.563866425724
2040,"hospitality_only","S52","Alojamento",18.677127830704,18.191194610924
