"year","cod","sector","baseline_dx_Rm","rewiring_dx_Rm","unconstrained_dx_Rm","ndc_target_dx_Rm","hard_constrained_dx_Rm","current_engine3_dx_Rm","rewiring_effect_Rm","investment_effect_after_rewiring_Rm","required_constraint_adjustment_Rm","balancing_final_demand_Rm","hard_constraint_error_Rm","current_engine3_error_Rm"
2030,"S19","Derivados de petróleo",98971.2668116607,96869.3453368046,132504.517404441,126585.022068929,126585.022068929,213302.755871144,-2101.92147485608,35635.1720676365,-5919.49533551167,-65.2457150716951,0,86717.7338022148
2030,"S40","Geração centralizada de energia elétrica",54023.9727891514,54980.8986112098,70665.235665131,72058.9338780275,72058.9338780275,114047.949001438,956.925822058409,15684.3370539212,1393.69821289659,3029.22378041042,0,41989.0151234103
2030,"S42","Transmissão",3902.54433421296,3971.31491529104,88183.2137557467,5209.49887606447,5209.49887606449,91322.5982422764,68.7705810780812,84211.8988404556,-82973.7148796822,-83072.9313104294,0.000000000025465851649642,86113.099366212
2030,"S22","Fabricação de biocombustíveis",12226.9121878389,12986.13102559,15230.1107261818,17.0874539215648,17.0874539215674,6457.83618617472,759.218837751112,2243.97970059175,-15213.0232722602,-14798.472149011,0.00000000000265742983174277,6440.74873225316
2030,"S20","Biodiesel",2329.09575967424,2821.98542600971,4073.48955039342,0,0,3702.74371265131,492.889666335474,1251.50412438371,-4073.48955039342,-3714.2952057175,0,3702.74371265131
2030,"S43","Gás Natural",7346.46099384618,6459.58635649406,9895.84670649481,2431.81530218392,2431.81530218392,10678.2245751925,-886.87463735212,3436.26035000075,-7464.03140431089,-7017.69582590159,0.000000000000909494701772928,8246.40927300854
2030,"S29","Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura",31687.7729683193,31672.2796023143,61768.7266842159,48737.6815801107,48737.6815801107,97120.5708323127,-15.4933660050046,30096.4470819015,-13031.0451041052,-11417.88204112,0,48382.889252202
2030,"S28","Fabricação de produtos de minerais não-metálicos",18833.2526825517,18841.0819709148,57792.741408029,41510.9644132011,41510.9644132011,96160.8934062615,7.82928836314386,38951.6594371142,-16281.776994828,-14254.8221671531,0,54649.9289930605
2035,"S05","Extração de petróleo e gás, inclusive as atividades de apoio",93941.0411569643,90127.1302057358,101033.92780066,75300.751757769,75300.751757769,113234.571011515,-3813.91095122846,10906.7975949239,-25733.1760428907,20409.0201841121,0,37933.8192537461
2035,"S19","Derivados de petróleo",172991.025299436,164718.988992649,199722.210114945,19347.0703489401,19347.0703489401,140083.168161277,-8272.03630678719,35003.2211222958,-180375.139766005,-128195.213457514,-0.0000000000436557456851006,120736.097812337
2035,"S40","Geração centralizada de energia elétrica",94428.0369910659,96332.30774941,109358.874621143,90000.9708689523,90000.9708689523,149317.006750144,1904.27075834412,13026.5668717328,-19357.9037521906,-12058.2260829695,0,59316.0358811914
2035,"S42","Transmissão",6821.22364803827,6958.05743960799,59994.1771858517,6506.6180049256,6506.61800492559,62888.216999845,136.833791569721,53036.1197462437,-53487.5591809261,-52095.7894855186,-0.0000000000109139364212751,56381.5989949194
2035,"S22","Fabricação de biocombustíveis",21371.3145618868,26314.0553743328,29281.5016794329,3888.92238921581,3888.9223892158,16525.3042116769,4942.74081244598,2967.44630510013,-25392.5792902171,-14532.6943236824,-0.00000000000272848410531878,12636.3818224611
2035,"S20","Biodiesel",4071.00642910176,6170.91758839365,7540.62997248692,763.76726976493,763.76726976493,7576.82306630004,2099.91115929189,1369.71238409327,-6776.862702722,-6002.97558724604,-0.000000000000341060513164848,6813.05579653511
2035,"S43","Gás Natural",12840.8159316198,10491.5933620387,13548.0191263548,8906.98816335781,8906.98816335781,19893.661895972,-2349.22256958113,3056.42576431613,-4641.03096299699,-3534.15548469654,0,10986.6737326142
2035,"S29","Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura",55386.7855978527,55313.1464405798,96661.980226118,74626.2892599949,74626.2892599949,147911.135476392,-73.6391572728171,41348.8337855382,-22035.6909661231,-18240.8006857815,0,73284.8462163966
