"group","year","sector","max_abs_coefficient_difference","sum_energy_coefficient_base","sum_energy_coefficient_current","sum_energy_coefficient_price_form"
"other_industry",2045,"S17",0,0.0378367925917874,0.0378367925917874,0.0378367925917874
"other_industry",2045,"S18",2.16840434497101e-19,0.00751202896691255,0.00751202896691255,0.00751202896691255
"other_industry",2045,"S23",3.46944695195361e-18,0.0869993130804171,0.0869993130804171,0.0869993130804171
"other_industry",2045,"S25",6.93889390390723e-18,0.0388141830974244,0.0388141830974244,0.0388141830974244
"other_industry",2045,"S26",0,0.0159227478099062,0.0159227478099062,0.0159227478099062
"other_industry",2045,"S27",3.46944695195361e-18,0.032796165984775,0.032796165984775,0.032796165984775
"other_industry",2045,"S30",6.93889390390723e-18,0.0685464459190078,0.0685464459190078,0.0685464459190078
"other_industry",2045,"S31",1.73472347597681e-18,0.0165293736448482,0.0165293736448482,0.0165293736448482
"other_industry",2045,"S32",0,0.00364819657863035,0.00364819657863035,0.00364819657863035
"other_industry",2045,"S33",1.0842021724855e-19,0.0139643431909737,0.0139643431909737,0.0139643431909737
"other_industry",2045,"S34",8.67361737988404e-19,0.00844192860146033,0.00844192860146033,0.00844192860146033
"other_industry",2045,"S35",2.16840434497101e-19,0.0088606668751547,0.0088606668751547,0.0088606668751547
"other_industry",2045,"S36",0,0.015631755228098,0.015631755228098,0.015631755228098
"other_industry",2045,"S37",2.16840434497101e-19,0.00849615290626742,0.00849615290626742,0.00849615290626742
"other_industry",2045,"S38",4.33680868994202e-19,0.00878969762194398,0.00878969762194398,0.00878969762194398
"other_industry",2045,"S39",0,0.00833081505142257,0.00833081505142257,0.00833081505142257
"other_industry",2050,"S10",0,0.024844917214746,0.0248449172147461,0.0248449172147461
"other_industry",2050,"S11",1.73472347597681e-18,0.0199100016066714,0.0199100016066714,0.0199100016066714
"other_industry",2050,"S12",4.33680868994202e-19,0.00447142143527612,0.00447142143527612,0.00447142143527612
"other_industry",2050,"S13",3.46944695195361e-18,0.0284923305335254,0.0284923305335254,0.0284923305335254
"other_industry",2050,"S14",0,0.00471304148091752,0.00471304148091752,0.00471304148091752
"other_industry",2050,"S15",1.73472347597681e-18,0.0105746073422878,0.0105746073422878,0.0105746073422878
"other_industry",2050,"S16",1.30104260698261e-18,0.0377437405576891,0.0377437405576891,0.0377437405576891
"other_industry",2050,"S17",8.67361737988404e-19,0.0378367925917874,0.0378367925917874,0.0378367925917874
"other_industry",2050,"S18",5.42101086242752e-20,0.00751202896691255,0.00751202896691255,0.00751202896691255
"other_industry",2050,"S23",6.93889390390723e-18,0.0869993130804171,0.0869993130804171,0.0869993130804171
"other_industry",2050,"S25",6.93889390390723e-18,0.0388141830974244,0.0388141830974244,0.0388141830974244
"other_industry",2050,"S26",5.42101086242752e-20,0.0159227478099062,0.0159227478099062,0.0159227478099062
"other_industry",2050,"S27",0,0.032796165984775,0.032796165984775,0.032796165984775
"other_industry",2050,"S30",0,0.0685464459190078,0.0685464459190078,0.0685464459190078
"other_industry",2050,"S31",0,0.0165293736448482,0.0165293736448482,0.0165293736448482
"other_industry",2050,"S32",1.0842021724855e-19,0.00364819657863035,0.00364819657863035,0.00364819657863035
"other_industry",2050,"S33",2.16840434497101e-19,0.0139643431909737,0.0139643431909737,0.0139643431909737
"other_industry",2050,"S34",8.67361737988404e-19,0.00844192860146033,0.00844192860146033,0.00844192860146033
"other_industry",2050,"S35",4.33680868994202e-19,0.0088606668751547,0.0088606668751547,0.0088606668751547
"other_industry",2050,"S36",0,0.015631755228098,0.015631755228098,0.015631755228098
"other_industry",2050,"S37",1.0842021724855e-19,0.00849615290626742,0.00849615290626742,0.00849615290626742
"other_industry",2050,"S38",0,0.00878969762194398,0.00878969762194398,0.00878969762194398
"other_industry",2050,"S39",1.0842021724855e-19,0.00833081505142257,0.00833081505142257,0.00833081505142257
"road_transport",2025,"S48",3.46944695195361e-18,0.200091346920093,0.200091346920093,0.200091346920093
"road_transport",2025,"S52",5.42101086242752e-20,0.0595652007652238,0.0595652007652238,0.0595652007652238
"road_transport",2030,"S48",6.93889390390723e-18,0.200091346920093,0.200091346920093,0.200091346920093
"road_transport",2030,"S52",4.33680868994202e-19,0.0595652007652238,0.0595652007652238,0.0595652007652238
"road_transport",2035,"S48",3.46944695195361e-18,0.200091346920093,0.200091346920093,0.200091346920093
"road_transport",2035,"S52",1.0842021724855e-19,0.0595652007652238,0.0595652007652238,0.0595652007652238
"road_transport",2040,"S48",2.77555756156289e-17,0.200091346920093,0.200091346920093,0.200091346920093
"road_transport",2040,"S52",3.3881317890172e-21,0.0595652007652238,0.0595652007652238,0.0595652007652238
"road_transport",2045,"S48",2.77555756156289e-17,0.200091346920093,0.200091346920093,0.200091346920093
"road_transport",2045,"S52",0,0.0595652007652238,0.0595652007652238,0.0595652007652238
"road_transport",2050,"S48",1.38777878078145e-17,0.200091346920093,0.200091346920093,0.200091346920093
